TIPO;PAIS;REGION;CIUDAD;CATEGORIA;NOMBRE;XML URL;HTML URL
 Medios;Argentina ;Buenos Aires;Vicente L¢pez;No Categorizado;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=36;www.infoban.com.ar
 Medios;Argentina ;Buenos Aires;Z†rate;No Categorizado;EL DEBATE;http://www.eldebate.com.ar/rss.php;www.google.com
 Medios;Argentina ;Buenos Aires;;No Categorizado;26 Noticias;http://www.26noticias.com.ar/xml/26noticias_general_rss.xml;www.26noticias.com.ar
 Medios;Argentina ;Buenos Aires;;No Categorizado;Conexi¢n Brando;http://www.conexionbrando.com/rss/style/;www.conexionbrando.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Ciudad.com ;http://www.ciudad.com.ar/secciones/espectaculos/rss.xml;www.ciudad.com.ar
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Ciudad.com ;http://www.ciudad.com.ar/secciones/musica/rss.xml;www.ciudad.com.ar
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;Ciudad.com ;http://www.ciudad.com.ar/secciones/tecnonews/rss.xml;www.ciudad.com.ar
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Ciudad.com ;http://www.ciudad.com.ar/secciones/television/rss.xml;www.ciudad.com.ar
 Medios;Argentina ;Buenos Aires;;Deportes;Clarin.com;http://www.clarin.com/rss/deportes/;www.clarin.com
 Medios;Argentina ;Buenos Aires;;Econom°a;Clarin.com;http://www.clarin.com/rss/economia/;www.clarin.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Clarin.com;http://www.clarin.com/rss/espectaculos/;www.clarin.com
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;Clarin.com;http://www.clarin.com/rss/internet/;www.clarin.com
 Medios;Argentina ;Buenos Aires;;Internacionales;Clarin.com;http://www.clarin.com/rss/mundo/;www.clarin.com
 Medios;Argentina ;Buenos Aires;;Sociales;Clarin.com;http://www.clarin.com/rss/policiales/;www.clarin.com
 Medios;Argentina ;Buenos Aires;;Pol°tica;Clarin.com;http://www.clarin.com/rss/politica/;www.clarin.com
 Medios;Argentina ;Buenos Aires;;Sociales;Clarin.com;http://www.clarin.com/rss/sociedad/;www.clarin.com
 Medios;Argentina ;Buenos Aires;;Deportes;Diario La Prensa;http://www.laprensa.com.ar/ResourcesManager.aspx?Resource=Rss.aspx&Rss=9;www.laprensa.com.ar
 Medios;Argentina ;Buenos Aires;;Econom°a;Diario La Prensa;http://www.laprensa.com.ar/ResourcesManager.aspx?Resource=Rss.aspx&Rss=5;www.laprensa.com.ar
 Medios;Argentina ;Buenos Aires;;Internacionales;Diario La Prensa;http://www.laprensa.com.ar/ResourcesManager.aspx?Resource=Rss.aspx&Rss=7;www.laprensa.com.ar
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Diario La Prensa;http://www.laprensa.com.ar/ResourcesManager.aspx?Resource=Rss.aspx&Rss=10;www.laprensa.com.ar
 Medios;Argentina ;Buenos Aires;;Pol°tica;Diario La Prensa;http://www.laprensa.com.ar/ResourcesManager.aspx?Resource=Rss.aspx&Rss=4;www.laprensa.com.ar
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;Diario Perfil On Line;http://www.perfil.com/rss/ciencia.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Diario Perfil On Line;http://www.perfil.com/rss/cultura.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Deportes;Diario Perfil On Line;http://www.perfil.com/rss/deportes.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Econom°a;Diario Perfil On Line;http://www.perfil.com/rss/economia.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Diario Perfil On Line;http://www.perfil.com/rss/espectaculos.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Internacionales;Diario Perfil On Line;http://www.perfil.com/rss/internacional.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Sociales;Diario Perfil On Line;http://www.perfil.com/rss/policia.xml;www.perfil.com
